price,area,pricePerMeter,rooms,floor
310000,37.0,8378.38,2,1
352880,44.11,8000.0,2,2
359000,53.8,6673.0,3,3
382000,47.75,8000.0,3,2
599000,67.95,8815.31,3,1
285000,56.0,5089.29,2,3
329000,43.7,7528.6,2,8
339000,34.0,9970.59,2,2
591750,56.09,10550.0,4,0
667062,67.38,9900.0,3,3
499656,45.84,10900.0,2,1
288000,37.0,7783.78,1,3
279000,37.8,7380.95,2,0
390684,46.51,8400.0,2,0
